編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLOKIIPFFAZ57DA,1,36.52,集合住宅,鋼筋混凝土造,108年12月18日,五層,三層 陽台
RPSNMLOKIIPFFAZ57DA,1,36.52,集合住宅,鋼筋混凝土造,108年12月18日,五層,三層 陽台
RPSNMLOKIIPFFAZ57DA,1,10.78,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
RPSNMLOKIIPFFAZ57DA,1,10.78,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
RPUNMLOKIIPFFAZ77DA,1,73.04,集合住宅,鋼筋混凝土造,108年12月18日,五層,五層 陽台
RPUNMLOKIIPFFAZ77DA,1,21.56,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
RPTNMLOKIIPFFAZ67DA,1,73.04,集合住宅,鋼筋混凝土造,108年12月18日,五層,四層 陽台
RPTNMLOKIIPFFAZ67DA,1,21.56,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
RPRNMLOKIIPFFAZ47DA,1,73.04,集合住宅,鋼筋混凝土造,108年12月18日,五層,二層 陽台
RPRNMLOKIIPFFAZ47DA,1,21.56,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
RPVNMLOKIIPFFAZ87DA,1,64.88,集合住宅,鋼筋混凝土造,108年12月18日,五層,二層 陽台
RPVNMLOKIIPFFAZ87DA,1,19.14,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
RPWNMLOKIIPFFAZ97DA,1,64.88,集合住宅,鋼筋混凝土造,108年12月18日,五層,三層 陽台
RPWNMLOKIIPFFAZ97DA,1,19.14,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
RPXNMLOKIIPFFAZ08DA,1,64.88,集合住宅,鋼筋混凝土造,108年12月18日,五層,四層 陽台
RPXNMLOKIIPFFAZ08DA,1,19.14,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
RPOOMLOKIIPFFAZ27DA,1,64.88,集合住宅,鋼筋混凝土造,108年12月18日,五層,五層 陽台
RPOOMLOKIIPFFAZ27DA,1,19.14,防空避難室、電梯及樓梯間,鋼筋混凝土造,108年12月18日,六層,
